	Anon Student Id	Session Id	Time	Level (Unit)	Problem Name	Problem Start Time	Outcome	KC (Binary-Node)	KC Category (Binary-Node)	Step Name
43	-S00007	1	2019-02-20T21:53:51	439.0	234	2019-02-20T21:53:51	INCORRECT	KC3		KC3
48	-S00007	1	2019-02-20T21:59:00	439.0	236	2019-02-20T21:59:00	CORRECT	KC1		KC1
48	-S00007	1	2019-02-20T21:59:00	439.0	236	2019-02-20T21:59:00	CORRECT	KC2		KC2
48	-S00007	1	2019-02-20T21:59:00	439.0	236	2019-02-20T21:59:00	INCORRECT	KC3		KC3
49	-S00007	1	2019-02-20T22:03:39	439.0	5	2019-02-20T22:03:39	CORRECT	KC1		KC1
49	-S00007	1	2019-02-20T22:03:39	439.0	5	2019-02-20T22:03:39	CORRECT	KC2		KC2
49	-S00007	1	2019-02-20T22:03:39	439.0	5	2019-02-20T22:03:39	INCORRECT	KC3		KC3
50	-S00007	1	2019-02-20T22:07:52	439.0	233	2019-02-20T22:07:52	CORRECT	KC1		KC1
50	-S00007	1	2019-02-20T22:07:52	439.0	233	2019-02-20T22:07:52	CORRECT	KC2		KC2
50	-S00007	1	2019-02-20T22:07:52	439.0	233	2019-02-20T22:07:52	INCORRECT	KC3		KC3
52	-S00007	1	2019-02-20T22:11:34	439.0	1	2019-02-20T22:11:34	CORRECT	KC1		KC1
52	-S00007	1	2019-02-20T22:11:34	439.0	1	2019-02-20T22:11:34	CORRECT	KC2		KC2
52	-S00007	1	2019-02-20T22:11:34	439.0	1	2019-02-20T22:11:34	INCORRECT	KC3		KC3
55	-S00007	1	2019-02-20T22:16:21	439.0	3	2019-02-20T22:16:21	CORRECT	KC1		KC1
55	-S00007	1	2019-02-20T22:16:21	439.0	3	2019-02-20T22:16:21	CORRECT	KC2		KC2
55	-S00007	1	2019-02-20T22:16:21	439.0	3	2019-02-20T22:16:21	INCORRECT	KC3		KC3
57	-S00007	1	2019-02-20T22:19:59	439.0	12	2019-02-20T22:19:59	CORRECT	KC1		KC1
57	-S00007	1	2019-02-20T22:19:59	439.0	12	2019-02-20T22:19:59	CORRECT	KC2		KC2
57	-S00007	1	2019-02-20T22:19:59	439.0	12	2019-02-20T22:19:59	INCORRECT	KC3		KC3
60	-S00008	1	2019-02-20T22:30:11	439.0	232	2019-02-20T22:30:11	CORRECT	KC1		KC1
60	-S00008	1	2019-02-20T22:30:11	439.0	232	2019-02-20T22:30:11	CORRECT	KC2		KC2
60	-S00008	1	2019-02-20T22:30:11	439.0	232	2019-02-20T22:30:11	INCORRECT	KC3		KC3
83	-S00009	1	2019-02-20T22:48:44	439.0	13	2019-02-20T22:48:44	CORRECT	KC1		KC1
83	-S00009	1	2019-02-20T22:48:44	439.0	13	2019-02-20T22:48:44	CORRECT	KC2		KC2
83	-S00009	1	2019-02-20T22:48:44	439.0	13	2019-02-20T22:48:44	INCORRECT	KC3		KC3
86	-S00008	1	2019-02-20T22:50:47	439.0	13	2019-02-20T22:50:47	CORRECT	KC1		KC1
86	-S00008	1	2019-02-20T22:50:47	439.0	13	2019-02-20T22:50:47	CORRECT	KC2		KC2
86	-S00008	1	2019-02-20T22:50:47	439.0	13	2019-02-20T22:50:47	INCORRECT	KC3		KC3
95	-S00004	1	2019-02-20T22:53:01	439.0	234	2019-02-20T22:53:01	CORRECT	KC1		KC1
95	-S00004	1	2019-02-20T22:53:01	439.0	234	2019-02-20T22:53:01	CORRECT	KC2		KC2
95	-S00004	1	2019-02-20T22:53:01	439.0	234	2019-02-20T22:53:01	INCORRECT	KC3		KC3
108	-S00004	1	2019-02-20T22:57:11	439.0	236	2019-02-20T22:57:11	CORRECT	KC1		KC1
108	-S00004	1	2019-02-20T22:57:11	439.0	236	2019-02-20T22:57:11	CORRECT	KC2		KC2
108	-S00004	1	2019-02-20T22:57:11	439.0	236	2019-02-20T22:57:11	INCORRECT	KC3		KC3
113	-S00004	1	2019-02-20T23:00:32	439.0	5	2019-02-20T23:00:32	CORRECT	KC1		KC1
113	-S00004	1	2019-02-20T23:00:32	439.0	5	2019-02-20T23:00:32	CORRECT	KC2		KC2
113	-S00004	1	2019-02-20T23:00:32	439.0	5	2019-02-20T23:00:32	INCORRECT	KC3		KC3
114	-S00010	1	2019-02-20T23:01:10	439.0	13	2019-02-20T23:01:10	CORRECT	KC1		KC1
114	-S00010	1	2019-02-20T23:01:10	439.0	13	2019-02-20T23:01:10	CORRECT	KC2		KC2
114	-S00010	1	2019-02-20T23:01:10	439.0	13	2019-02-20T23:01:10	INCORRECT	KC3		KC3
116	-S00009	1	2019-02-20T23:02:03	439.0	232	2019-02-20T23:02:03	CORRECT	KC1		KC1
116	-S00009	1	2019-02-20T23:02:03	439.0	232	2019-02-20T23:02:03	CORRECT	KC2		KC2
116	-S00009	1	2019-02-20T23:02:03	439.0	232	2019-02-20T23:02:03	INCORRECT	KC3		KC3
122	-S00010	1	2019-02-20T23:03:47	439.0	232	2019-02-20T23:03:47	CORRECT	KC1		KC1
122	-S00010	1	2019-02-20T23:03:47	439.0	232	2019-02-20T23:03:47	CORRECT	KC2		KC2
122	-S00010	1	2019-02-20T23:03:47	439.0	232	2019-02-20T23:03:47	INCORRECT	KC3		KC3
123	-S00004	1	2019-02-20T23:04:14	439.0	233	2019-02-20T23:04:14	CORRECT	KC1		KC1
123	-S00004	1	2019-02-20T23:04:14	439.0	233	2019-02-20T23:04:14	CORRECT	KC2		KC2
123	-S00004	1	2019-02-20T23:04:14	439.0	233	2019-02-20T23:04:14	INCORRECT	KC3		KC3
124	-S00010	1	2019-02-20T23:05:26	439.0	235	2019-02-20T23:05:26	CORRECT	KC1		KC1
124	-S00010	1	2019-02-20T23:05:26	439.0	235	2019-02-20T23:05:26	CORRECT	KC2		KC2
124	-S00010	1	2019-02-20T23:05:26	439.0	235	2019-02-20T23:05:26	INCORRECT	KC3		KC3
125	-S00004	1	2019-02-20T23:05:52	439.0	1	2019-02-20T23:05:52	CORRECT	KC1		KC1
125	-S00004	1	2019-02-20T23:05:52	439.0	1	2019-02-20T23:05:52	CORRECT	KC2		KC2
125	-S00004	1	2019-02-20T23:05:52	439.0	1	2019-02-20T23:05:52	INCORRECT	KC3		KC3
127	-S00009	1	2019-02-20T23:06:26	439.0	235	2019-02-20T23:06:26	CORRECT	KC1		KC1
127	-S00009	1	2019-02-20T23:06:26	439.0	235	2019-02-20T23:06:26	CORRECT	KC2		KC2
127	-S00009	1	2019-02-20T23:06:26	439.0	235	2019-02-20T23:06:26	INCORRECT	KC3		KC3
128	-S00010	1	2019-02-20T23:06:37	439.0	234	2019-02-20T23:06:37	CORRECT	KC1		KC1
128	-S00010	1	2019-02-20T23:06:37	439.0	234	2019-02-20T23:06:37	CORRECT	KC2		KC2
128	-S00010	1	2019-02-20T23:06:37	439.0	234	2019-02-20T23:06:37	INCORRECT	KC3		KC3
129	-S00010	1	2019-02-20T23:08:22	439.0	236	2019-02-20T23:08:22	CORRECT	KC1		KC1
129	-S00010	1	2019-02-20T23:08:22	439.0	236	2019-02-20T23:08:22	CORRECT	KC2		KC2
129	-S00010	1	2019-02-20T23:08:22	439.0	236	2019-02-20T23:08:22	INCORRECT	KC3		KC3
130	-S00004	1	2019-02-20T23:08:24	439.0	3	2019-02-20T23:08:24	CORRECT	KC1		KC1
130	-S00004	1	2019-02-20T23:08:24	439.0	3	2019-02-20T23:08:24	CORRECT	KC2		KC2
130	-S00004	1	2019-02-20T23:08:24	439.0	3	2019-02-20T23:08:24	INCORRECT	KC3		KC3
131	-S00009	1	2019-02-20T23:08:45	439.0	234	2019-02-20T23:08:45	CORRECT	KC1		KC1
131	-S00009	1	2019-02-20T23:08:45	439.0	234	2019-02-20T23:08:45	CORRECT	KC2		KC2
131	-S00009	1	2019-02-20T23:08:45	439.0	234	2019-02-20T23:08:45	INCORRECT	KC3		KC3
136	-S00010	1	2019-02-20T23:09:59	439.0	5	2019-02-20T23:09:59	CORRECT	KC1		KC1
136	-S00010	1	2019-02-20T23:09:59	439.0	5	2019-02-20T23:09:59	CORRECT	KC2		KC2
136	-S00010	1	2019-02-20T23:09:59	439.0	5	2019-02-20T23:09:59	INCORRECT	KC3		KC3
138	-S00010	1	2019-02-20T23:11:24	439.0	233	2019-02-20T23:11:24	CORRECT	KC1		KC1
138	-S00010	1	2019-02-20T23:11:24	439.0	233	2019-02-20T23:11:24	CORRECT	KC2		KC2
138	-S00010	1	2019-02-20T23:11:24	439.0	233	2019-02-20T23:11:24	INCORRECT	KC3		KC3
139	-S00009	1	2019-02-20T23:11:55	439.0	236	2019-02-20T23:11:55	CORRECT	KC1		KC1
139	-S00009	1	2019-02-20T23:11:55	439.0	236	2019-02-20T23:11:55	CORRECT	KC2		KC2
139	-S00009	1	2019-02-20T23:11:55	439.0	236	2019-02-20T23:11:55	INCORRECT	KC3		KC3
142	-S00010	1	2019-02-20T23:12:33	439.0	1	2019-02-20T23:12:33	CORRECT	KC1		KC1
142	-S00010	1	2019-02-20T23:12:33	439.0	1	2019-02-20T23:12:33	CORRECT	KC2		KC2
142	-S00010	1	2019-02-20T23:12:33	439.0	1	2019-02-20T23:12:33	INCORRECT	KC3		KC3
143	-S00004	1	2019-02-20T23:12:44	439.0	12	2019-02-20T23:12:44	CORRECT	KC1		KC1
143	-S00004	1	2019-02-20T23:12:44	439.0	12	2019-02-20T23:12:44	CORRECT	KC2		KC2
143	-S00004	1	2019-02-20T23:12:44	439.0	12	2019-02-20T23:12:44	INCORRECT	KC3		KC3
147	-S00010	1	2019-02-20T23:13:39	439.0	3	2019-02-20T23:13:39	CORRECT	KC1		KC1
147	-S00010	1	2019-02-20T23:13:39	439.0	3	2019-02-20T23:13:39	CORRECT	KC2		KC2
147	-S00010	1	2019-02-20T23:13:39	439.0	3	2019-02-20T23:13:39	INCORRECT	KC3		KC3
148	-S00009	1	2019-02-20T23:15:37	439.0	5	2019-02-20T23:15:37	CORRECT	KC1		KC1
148	-S00009	1	2019-02-20T23:15:37	439.0	5	2019-02-20T23:15:37	CORRECT	KC2		KC2
148	-S00009	1	2019-02-20T23:15:37	439.0	5	2019-02-20T23:15:37	INCORRECT	KC3		KC3
153	-S00010	1	2019-02-20T23:18:56	439.0	12	2019-02-20T23:18:56	CORRECT	KC1		KC1
153	-S00010	1	2019-02-20T23:18:56	439.0	12	2019-02-20T23:18:56	CORRECT	KC2		KC2
153	-S00010	1	2019-02-20T23:18:56	439.0	12	2019-02-20T23:18:56	INCORRECT	KC3		KC3
154	-S00009	1	2019-02-20T23:20:32	439.0	233	2019-02-20T23:20:32	CORRECT	KC1		KC1
154	-S00009	1	2019-02-20T23:20:32	439.0	233	2019-02-20T23:20:32	CORRECT	KC2		KC2
154	-S00009	1	2019-02-20T23:20:32	439.0	233	2019-02-20T23:20:32	INCORRECT	KC3		KC3
156	-S00009	1	2019-02-20T23:22:58	439.0	1	2019-02-20T23:22:58	CORRECT	KC1		KC1
156	-S00009	1	2019-02-20T23:22:58	439.0	1	2019-02-20T23:22:58	CORRECT	KC2		KC2
156	-S00009	1	2019-02-20T23:22:58	439.0	1	2019-02-20T23:22:58	INCORRECT	KC3		KC3
158	-S00009	1	2019-02-20T23:25:36	439.0	3	2019-02-20T23:25:36	CORRECT	KC1		KC1
158	-S00009	1	2019-02-20T23:25:36	439.0	3	2019-02-20T23:25:36	CORRECT	KC2		KC2
158	-S00009	1	2019-02-20T23:25:36	439.0	3	2019-02-20T23:25:36	INCORRECT	KC3		KC3
160	-S00009	1	2019-02-20T23:27:59	439.0	12	2019-02-20T23:27:59	CORRECT	KC1		KC1
160	-S00009	1	2019-02-20T23:27:59	439.0	12	2019-02-20T23:27:59	CORRECT	KC2		KC2
160	-S00009	1	2019-02-20T23:27:59	439.0	12	2019-02-20T23:27:59	INCORRECT	KC3		KC3
161	-S00011	1	2019-02-21T01:12:38	439.0	13	2019-02-21T01:12:38	CORRECT	KC1		KC1
161	-S00011	1	2019-02-21T01:12:38	439.0	13	2019-02-21T01:12:38	CORRECT	KC2		KC2
161	-S00011	1	2019-02-21T01:12:38	439.0	13	2019-02-21T01:12:38	INCORRECT	KC3		KC3
163	-S00011	1	2019-02-21T01:18:25	439.0	232	2019-02-21T01:18:25	CORRECT	KC1		KC1
163	-S00011	1	2019-02-21T01:18:25	439.0	232	2019-02-21T01:18:25	CORRECT	KC2		KC2
163	-S00011	1	2019-02-21T01:18:25	439.0	232	2019-02-21T01:18:25	INCORRECT	KC3		KC3
164	-S00012	1	2019-02-21T01:22:03	439.0	13	2019-02-21T01:22:03	CORRECT	KC1		KC1
164	-S00012	1	2019-02-21T01:22:03	439.0	13	2019-02-21T01:22:03	CORRECT	KC2		KC2
164	-S00012	1	2019-02-21T01:22:03	439.0	13	2019-02-21T01:22:03	INCORRECT	KC3		KC3
184	-S00011	1	2019-02-21T01:33:02	439.0	235	2019-02-21T01:33:02	CORRECT	KC1		KC1
184	-S00011	1	2019-02-21T01:33:02	439.0	235	2019-02-21T01:33:02	CORRECT	KC2		KC2
184	-S00011	1	2019-02-21T01:33:02	439.0	235	2019-02-21T01:33:02	INCORRECT	KC3		KC3
196	-S00013	1	2019-02-21T01:37:57	439.0	13	2019-02-21T01:37:57	CORRECT	KC1		KC1
196	-S00013	1	2019-02-21T01:37:57	439.0	13	2019-02-21T01:37:57	CORRECT	KC2		KC2
196	-S00013	1	2019-02-21T01:37:57	439.0	13	2019-02-21T01:37:57	INCORRECT	KC3		KC3
201	-S00012	1	2019-02-21T01:46:42	439.0	232	2019-02-21T01:46:42	CORRECT	KC1		KC1
201	-S00012	1	2019-02-21T01:46:42	439.0	232	2019-02-21T01:46:42	CORRECT	KC2		KC2
201	-S00012	1	2019-02-21T01:46:42	439.0	232	2019-02-21T01:46:42	INCORRECT	KC3		KC3
205	-S00012	1	2019-02-21T01:58:05	439.0	235	2019-02-21T01:58:05	CORRECT	KC1		KC1
205	-S00012	1	2019-02-21T01:58:05	439.0	235	2019-02-21T01:58:05	CORRECT	KC2		KC2
205	-S00012	1	2019-02-21T01:58:05	439.0	235	2019-02-21T01:58:05	INCORRECT	KC3		KC3
207	-S00012	1	2019-02-21T02:03:02	439.0	234	2019-02-21T02:03:02	CORRECT	KC1		KC1
207	-S00012	1	2019-02-21T02:03:02	439.0	234	2019-02-21T02:03:02	CORRECT	KC2		KC2
207	-S00012	1	2019-02-21T02:03:02	439.0	234	2019-02-21T02:03:02	INCORRECT	KC3		KC3
208	-S00013	1	2019-02-21T02:03:37	439.0	232	2019-02-21T02:03:37	CORRECT	KC1		KC1
208	-S00013	1	2019-02-21T02:03:37	439.0	232	2019-02-21T02:03:37	CORRECT	KC2		KC2
208	-S00013	1	2019-02-21T02:03:37	439.0	232	2019-02-21T02:03:37	INCORRECT	KC3		KC3
211	-S00012	1	2019-02-21T02:10:05	439.0	236	2019-02-21T02:10:05	CORRECT	KC1		KC1
211	-S00012	1	2019-02-21T02:10:05	439.0	236	2019-02-21T02:10:05	CORRECT	KC2		KC2
211	-S00012	1	2019-02-21T02:10:05	439.0	236	2019-02-21T02:10:05	INCORRECT	KC3		KC3
215	-S00012	1	2019-02-21T02:19:00	439.0	5	2019-02-21T02:19:00	CORRECT	KC1		KC1
215	-S00012	1	2019-02-21T02:19:00	439.0	5	2019-02-21T02:19:00	CORRECT	KC2		KC2
215	-S00012	1	2019-02-21T02:19:00	439.0	5	2019-02-21T02:19:00	INCORRECT	KC3		KC3
221	-S00014	1	2019-02-21T02:30:47	439.0	13	2019-02-21T02:30:47	CORRECT	KC1		KC1
221	-S00014	1	2019-02-21T02:30:47	439.0	13	2019-02-21T02:30:47	CORRECT	KC2		KC2
221	-S00014	1	2019-02-21T02:30:47	439.0	13	2019-02-21T02:30:47	INCORRECT	KC3		KC3
224	-S00013	1	2019-02-21T02:36:30	439.0	235	2019-02-21T02:36:30	CORRECT	KC1		KC1
224	-S00013	1	2019-02-21T02:36:30	439.0	235	2019-02-21T02:36:30	CORRECT	KC2		KC2
224	-S00013	1	2019-02-21T02:36:30	439.0	235	2019-02-21T02:36:30	INCORRECT	KC3		KC3
226	-S00012	1	2019-02-21T02:59:44	439.0	233	2019-02-21T02:59:44	CORRECT	KC1		KC1
226	-S00012	1	2019-02-21T02:59:44	439.0	233	2019-02-21T02:59:44	CORRECT	KC2		KC2
226	-S00012	1	2019-02-21T02:59:44	439.0	233	2019-02-21T02:59:44	INCORRECT	KC3		KC3
228	-S00012	1	2019-02-21T03:03:49	439.0	1	2019-02-21T03:03:49	CORRECT	KC1		KC1
228	-S00012	1	2019-02-21T03:03:49	439.0	1	2019-02-21T03:03:49	CORRECT	KC2		KC2
228	-S00012	1	2019-02-21T03:03:49	439.0	1	2019-02-21T03:03:49	INCORRECT	KC3		KC3
232	-S00012	1	2019-02-21T03:08:10	439.0	3	2019-02-21T03:08:10	CORRECT	KC1		KC1
232	-S00012	1	2019-02-21T03:08:10	439.0	3	2019-02-21T03:08:10	CORRECT	KC2		KC2
232	-S00012	1	2019-02-21T03:08:10	439.0	3	2019-02-21T03:08:10	INCORRECT	KC3		KC3
238	-S00012	1	2019-02-21T03:15:25	439.0	12	2019-02-21T03:15:25	CORRECT	KC1		KC1
238	-S00012	1	2019-02-21T03:15:25	439.0	12	2019-02-21T03:15:25	CORRECT	KC2		KC2
238	-S00012	1	2019-02-21T03:15:25	439.0	12	2019-02-21T03:15:25	INCORRECT	KC3		KC3
251	-S00011	1	2019-02-21T03:48:05	439.0	234	2019-02-21T03:48:05	CORRECT	KC1		KC1
251	-S00011	1	2019-02-21T03:48:05	439.0	234	2019-02-21T03:48:05	CORRECT	KC2		KC2
251	-S00011	1	2019-02-21T03:48:05	439.0	234	2019-02-21T03:48:05	INCORRECT	KC3		KC3
254	-S00011	1	2019-02-21T03:50:31	439.0	236	2019-02-21T03:50:31	CORRECT	KC1		KC1
254	-S00011	1	2019-02-21T03:50:31	439.0	236	2019-02-21T03:50:31	CORRECT	KC2		KC2
254	-S00011	1	2019-02-21T03:50:31	439.0	236	2019-02-21T03:50:31	INCORRECT	KC3		KC3
257	-S00011	1	2019-02-21T03:53:28	439.0	5	2019-02-21T03:53:28	CORRECT	KC1		KC1
257	-S00011	1	2019-02-21T03:53:28	439.0	5	2019-02-21T03:53:28	CORRECT	KC2		KC2
257	-S00011	1	2019-02-21T03:53:28	439.0	5	2019-02-21T03:53:28	INCORRECT	KC3		KC3
259	-S00011	1	2019-02-21T03:54:26	439.0	233	2019-02-21T03:54:26	CORRECT	KC1		KC1
259	-S00011	1	2019-02-21T03:54:26	439.0	233	2019-02-21T03:54:26	CORRECT	KC2		KC2
259	-S00011	1	2019-02-21T03:54:26	439.0	233	2019-02-21T03:54:26	INCORRECT	KC3		KC3
261	-S00011	1	2019-02-21T03:55:32	439.0	1	2019-02-21T03:55:32	CORRECT	KC1		KC1
261	-S00011	1	2019-02-21T03:55:32	439.0	1	2019-02-21T03:55:32	CORRECT	KC2		KC2
261	-S00011	1	2019-02-21T03:55:32	439.0	1	2019-02-21T03:55:32	INCORRECT	KC3		KC3
263	-S00011	1	2019-02-21T03:57:29	439.0	3	2019-02-21T03:57:29	CORRECT	KC1		KC1
263	-S00011	1	2019-02-21T03:57:29	439.0	3	2019-02-21T03:57:29	CORRECT	KC2		KC2
263	-S00011	1	2019-02-21T03:57:29	439.0	3	2019-02-21T03:57:29	INCORRECT	KC3		KC3
264	-S00011	1	2019-02-21T03:58:51	439.0	12	2019-02-21T03:58:51	CORRECT	KC1		KC1
264	-S00011	1	2019-02-21T03:58:51	439.0	12	2019-02-21T03:58:51	CORRECT	KC2		KC2
264	-S00011	1	2019-02-21T03:58:51	439.0	12	2019-02-21T03:58:51	INCORRECT	KC3		KC3
265	-S00013	1	2019-02-21T04:18:09	439.0	234	2019-02-21T04:18:09	CORRECT	KC1		KC1
265	-S00013	1	2019-02-21T04:18:09	439.0	234	2019-02-21T04:18:09	CORRECT	KC2		KC2
265	-S00013	1	2019-02-21T04:18:09	439.0	234	2019-02-21T04:18:09	INCORRECT	KC3		KC3
271	-S00013	1	2019-02-21T04:57:15	439.0	236	2019-02-21T04:57:15	CORRECT	KC1		KC1
271	-S00013	1	2019-02-21T04:57:15	439.0	236	2019-02-21T04:57:15	CORRECT	KC2		KC2
271	-S00013	1	2019-02-21T04:57:15	439.0	236	2019-02-21T04:57:15	INCORRECT	KC3		KC3
272	-S00013	1	2019-02-21T05:06:22	439.0	5	2019-02-21T05:06:22	CORRECT	KC1		KC1
272	-S00013	1	2019-02-21T05:06:22	439.0	5	2019-02-21T05:06:22	CORRECT	KC2		KC2
272	-S00013	1	2019-02-21T05:06:22	439.0	5	2019-02-21T05:06:22	INCORRECT	KC3		KC3
281	-S00001	1	2019-02-21T05:27:29	439.0	232	2019-02-21T05:27:29	CORRECT	KC1		KC1
281	-S00001	1	2019-02-21T05:27:29	439.0	232	2019-02-21T05:27:29	CORRECT	KC2		KC2
281	-S00001	1	2019-02-21T05:27:29	439.0	232	2019-02-21T05:27:29	INCORRECT	KC3		KC3
285	-S00001	1	2019-02-21T05:33:25	439.0	235	2019-02-21T05:33:25	CORRECT	KC1		KC1
285	-S00001	1	2019-02-21T05:33:25	439.0	235	2019-02-21T05:33:25	CORRECT	KC2		KC2
285	-S00001	1	2019-02-21T05:33:25	439.0	235	2019-02-21T05:33:25	INCORRECT	KC3		KC3
288	-S00001	1	2019-02-21T05:35:49	439.0	234	2019-02-21T05:35:49	CORRECT	KC1		KC1
288	-S00001	1	2019-02-21T05:35:49	439.0	234	2019-02-21T05:35:49	CORRECT	KC2		KC2
288	-S00001	1	2019-02-21T05:35:49	439.0	234	2019-02-21T05:35:49	INCORRECT	KC3		KC3
289	-S00001	1	2019-02-21T05:37:56	439.0	236	2019-02-21T05:37:56	CORRECT	KC1		KC1
289	-S00001	1	2019-02-21T05:37:56	439.0	236	2019-02-21T05:37:56	CORRECT	KC2		KC2
289	-S00001	1	2019-02-21T05:37:56	439.0	236	2019-02-21T05:37:56	INCORRECT	KC3		KC3
290	-S00001	1	2019-02-21T05:39:49	439.0	5	2019-02-21T05:39:49	CORRECT	KC1		KC1
290	-S00001	1	2019-02-21T05:39:49	439.0	5	2019-02-21T05:39:49	CORRECT	KC2		KC2
290	-S00001	1	2019-02-21T05:39:49	439.0	5	2019-02-21T05:39:49	INCORRECT	KC3		KC3
291	-S00001	1	2019-02-21T05:41:59	439.0	233	2019-02-21T05:41:59	CORRECT	KC1		KC1
291	-S00001	1	2019-02-21T05:41:59	439.0	233	2019-02-21T05:41:59	CORRECT	KC2		KC2
291	-S00001	1	2019-02-21T05:41:59	439.0	233	2019-02-21T05:41:59	INCORRECT	KC3		KC3
293	-S00001	1	2019-02-21T05:44:12	439.0	1	2019-02-21T05:44:12	CORRECT	KC1		KC1
293	-S00001	1	2019-02-21T05:44:12	439.0	1	2019-02-21T05:44:12	CORRECT	KC2		KC2
293	-S00001	1	2019-02-21T05:44:12	439.0	1	2019-02-21T05:44:12	INCORRECT	KC3		KC3
294	-S00001	1	2019-02-21T05:45:30	439.0	3	2019-02-21T05:45:30	CORRECT	KC1		KC1
294	-S00001	1	2019-02-21T05:45:30	439.0	3	2019-02-21T05:45:30	CORRECT	KC2		KC2
294	-S00001	1	2019-02-21T05:45:30	439.0	3	2019-02-21T05:45:30	INCORRECT	KC3		KC3
297	-S00001	1	2019-02-21T05:48:22	439.0	12	2019-02-21T05:48:22	CORRECT	KC1		KC1
297	-S00001	1	2019-02-21T05:48:22	439.0	12	2019-02-21T05:48:22	CORRECT	KC2		KC2
297	-S00001	1	2019-02-21T05:48:22	439.0	12	2019-02-21T05:48:22	INCORRECT	KC3		KC3
303	-S00015	1	2019-02-21T07:50:25	439.0	13	2019-02-21T07:50:25	CORRECT	KC1		KC1
